Variant,Variant_Name,Fold,Best_Epoch,Composite_Score,Total_Epochs,First_Valid_Epoch,Total_Valid_Epochs,Best_Epoch_Val_Loss,Best_Epoch_Dice_Ventricles,Best_Epoch_Dice_Normal_WMH,Best_Epoch_Dice_Abnormal_WMH,Best_Epoch_Dice_Mean,Best_Abnormal_Epoch,Best_Abnormal_Dice,Best_Ventricles_Epoch,Best_Ventricles_Dice
0,Baseline U-Net,0,50,0.5873540247775113,60,1,60,0.002148651285097003,0.8574775701465155,0.45462160925059836,0.43771029520639326,0.6858546653107904,58,0.4384325578420655,41,0.8577557499557256
0,Baseline U-Net,1,49,0.6859514786949942,60,1,60,0.0036723667290061712,0.8544930317153849,0.4151650330682849,0.6247015784134924,0.7219995271988755,49,0.6247015784134924,46,0.8562095760079477
0,Baseline U-Net,2,49,0.5923212186633214,60,1,60,0.0026003087405115366,0.852239069795148,0.431572517011054,0.488002318585175,0.6912297738191092,57,0.4885411965292728,39,0.8532743469879579
0,Baseline U-Net,3,59,0.5366166846412604,60,1,60,0.005624225828796625,0.8481702637807913,0.3990886121061849,0.4394489244104934,0.6695674198358611,59,0.4394489244104934,50,0.8492139168877215
0,Baseline U-Net,4,27,0.6472811263224924,60,1,60,0.006568561773747206,0.819695304962744,0.4319443495162995,0.598779800330691,0.7103681572095458,22,0.6121614468243325,20,0.856409492813435
1,Baseline Pix2Pix (Softmax + WCE),0,24,0.7250251649828833,60,1,60,0.0027752770110964775,0.8656657695700779,0.6295755825553685,0.6509114135497619,0.7857891767748776,54,0.6902840059777835,34,0.8838246443380083
1,Baseline Pix2Pix (Softmax + WCE),1,19,0.7794719773078049,60,1,60,0.006071554031223059,0.8878744077279163,0.6233957539254573,0.7491281097410911,0.8143631300919589,51,0.7859319929248737,24,0.8981432508415789
1,Baseline Pix2Pix (Softmax + WCE),2,45,0.7488295495251462,60,1,60,0.007003281265497208,0.8759002363975535,0.6627626710108586,0.7331395348824673,0.8172856199568729,45,0.7331395348824673,59,0.8923516881141885
1,Baseline Pix2Pix (Softmax + WCE),3,24,0.7412630643314402,60,1,60,0.0075654806569218636,0.8823743627090804,0.5981102651126066,0.6847605132760411,0.7905388906432356,56,0.7022322451058843,45,0.8967105972048077
1,Baseline Pix2Pix (Softmax + WCE),4,28,0.8008721435058122,60,1,60,0.01861572265625,0.8990301904598986,0.6368852696545094,0.7451787621089007,0.8194387396843675,19,0.7543844076131105,50,0.9077031973624657
2,Baseline Pix2Pix (Softmax + Focal),0,32,0.7318056522711256,60,1,60,0.007361758500337601,0.8914772939983099,0.6145817239178476,0.6775204207215741,0.7952748177858235,46,0.7027964090378644,37,0.8989769879552592
2,Baseline Pix2Pix (Softmax + Focal),1,39,0.8057220879925147,60,1,60,0.0074034384451806545,0.8534998480827823,0.6080719002497773,0.7734063074774871,0.8079613538300118,24,0.7789473684200892,43,0.8723321956764094
2,Baseline Pix2Pix (Softmax + Focal),2,21,0.7537267153609278,60,1,60,0.005174639634788036,0.8665317416959054,0.655659634759415,0.7241435122727737,0.8109066864881328,60,0.7271874999987376,35,0.8964526968677267
2,Baseline Pix2Pix (Softmax + Focal),3,41,0.7136918986355598,60,1,60,0.013554088771343231,0.8694415577309087,0.5800635020179791,0.6830068659121878,0.7823356673138039,59,0.6830884714866835,44,0.8934362450258717
2,Baseline Pix2Pix (Softmax + Focal),4,44,0.785767108908772,60,1,60,0.01047161128371954,0.900945900017604,0.6310017655408859,0.728498479545167,0.8141870801753301,41,0.7526425404945238,56,0.9011881367476081
3,Baseline Pix2Pix + Attention D (Fixed Weights),0,54,0.7623129231342228,60,1,60,0.008956878446042538,0.8939834749210316,0.6383484279750709,0.697139498431236,0.8067908411381282,29,0.701296669338168,21,0.9003666063386234
3,Baseline Pix2Pix + Attention D (Fixed Weights),1,34,0.8051885589588494,60,1,60,0.008383087813854218,0.864605069062162,0.6287448599948526,0.7779973724786908,0.817096606740318,42,0.7869928327340624,29,0.8905840563670351
3,Baseline Pix2Pix + Attention D (Fixed Weights),2,45,0.7767698863240747,60,1,60,0.008387723937630653,0.8725056216319127,0.6632659713157378,0.7328139948053628,0.8164833041510978,45,0.7328139948053628,35,0.8887459681737223
3,Baseline Pix2Pix + Attention D (Fixed Weights),3,55,0.7559428924294547,60,1,60,0.01782054640352726,0.8842691337125992,0.5895789092031523,0.6967412343883325,0.7919416132627987,55,0.6967412343883325,49,0.8893197596490786
3,Baseline Pix2Pix + Attention D (Fixed Weights),4,25,0.8018474098983854,60,1,60,0.015827041119337082,0.888642843917464,0.6376002102762558,0.7600912439853956,0.8207585609957596,25,0.7600912439853956,37,0.9117020567152523
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),0,57,0.7207557988769542,60,25,36,0.00680774450302124,0.8908239147611043,0.6485677570462961,0.7031262754046544,0.8100637426994711,58,0.7234450614376944,60,0.8962441988417319
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),1,60,0.7751420118924789,60,25,36,0.009821716696023941,0.9052758488767199,0.6693463336968076,0.7885686420440051,0.8402517487910626,57,0.7908507656494969,60,0.9052758488767199
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),2,57,0.7332094291391654,60,25,36,0.008946727029979229,0.9013712897062011,0.7016152665953531,0.7308908709698823,0.8329239873321423,60,0.7389634970694205,57,0.9013712897062011
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),3,59,0.728377805878419,60,25,36,0.013991556130349636,0.8975175902640228,0.6244385699245124,0.7145209147482319,0.8084750834616925,60,0.7175870348132526,60,0.8986908798082044
4,Baseline Pix2Pix + Adaptive Hybrid (WCE→UFL),4,35,0.7558945246710647,60,25,36,0.017028799280524254,0.8904679217689901,0.6042260802845112,0.7349244319456963,0.8064782731293352,41,0.7497208571519074,59,0.9195602246169523
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),0,33,0.7210323094230997,60,25,36,0.19422371685504913,0.9120683015709211,0.6742135775776573,0.7353599867270749,0.8299286763906722,33,0.7353599867270749,28,0.9133538815748588
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),1,50,0.7607252018232658,60,25,36,0.20062948763370514,0.9119989804366092,0.6786578749672844,0.8000345491328167,0.8471613838880749,50,0.8000345491328167,50,0.9119989804366092
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),2,25,0.7186613780239635,60,25,36,0.1767234355211258,0.9059213776549883,0.7050868295669533,0.7338521539352593,0.8356938614318603,50,0.738841335732084,41,0.9087642617362606
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),3,31,0.7163976720019766,60,25,36,0.22431719303131104,0.9132267425402496,0.6316618830538696,0.7284597770747985,0.8177805629214185,31,0.7284597770747985,47,0.9147945913878524
5,Baseline Pix2Pix + Attention D + Adaptive Hybrid (WCE→UFL),4,26,0.7355149596559147,60,25,36,0.19548529386520386,0.9231281831592321,0.6597248047591525,0.744018980600163,0.8310489102110268,26,0.744018980600163,29,0.9244769206193402
